headlines,terms,dates
rita moreno says donald trump is giving people 'permission' to be racist through his words and actions,trump,2020-06-16
jim carrey floats conspiracy theory that trump may be the first us president to defect,trump,2020-06-16
georgia dem who backs trump wants to make attacks on supporters a hate crime,trump,2020-06-16
trump edges biden 44-43 in tight iowa race: poll,trump,2020-06-16
"five years ago today: trump announces candidacy, media laughs",trump,2020-06-16
trump signs police reform executive order in rose garden ceremony,trump,2020-06-16
trump says he wants major troop reduction in germany,trump,2020-06-16
trump signs executive order on policing: read the document,trump,2020-06-16
does trump’s police reform order go far enough?,trump,2020-06-16
mcenany rips media for showing 'how much they have trump derangement syndrome' by criticizing tulsa rally,trump,2020-06-16
ny times correspondent says it's 'preposterous' for trump to have constructive role for change,trump,2020-06-16
"sean hannity to interview president trump on wednesday, june 17",trump,2020-06-17
donald trump jr. mocks journalists who sounded alarm over scheduled campaign interview with father,trump,2020-06-17
biden urges trump to 'wake up' and stop waving 'the white flag' on coronavirus,trump,2020-06-17
"rep. matt gaetz, ari fleischer on media cheering protests but covid-shaming trump rally",trump,2020-06-17
tim graham: abc gives bolton star treatment for anti-trump book – unlike obama's critics,trump,2020-06-17
trump introduces initiative to help veterans suffering from mental health issues,trump,2020-06-17
'the comey rule' shows brendan gleeson as donald trump in first look at upcoming showtime series,trump,2020-06-17
"former bush, trump administration officials form pro-biden super pac",trump,2020-06-17
"biden goes months without holding press conference, as trump team accuses ex-vp of ‘hiding in his basement’",trump,2020-06-17
tim scott: dems should not 'demonize progress' for black community because they don't like trump,trump,2020-06-17
trump says he 'absolutely' would support colin kaepernick getting second shot in nfl despite kneeling controversy,trump,2020-06-17
pelosi knocks trump over 'ego trip' to tulsa for campaign rally as local coronavirus cases increase,trump,2020-06-17
trump administration hits assad regime with new economic and travel sanctions,trump,2020-06-17
bolton claims in book that pompeo once called trump 'full of s---',trump,2020-06-17
bernie sanders blasts trump's planned rally: 'literally incomprehensible',trump,2020-06-17
lighthizer denies bolton claim that trump asked china’s xi for 2020 help: ‘never happened. i was there’,trump,2020-06-17
